account_id,snapshot_month,partner_program_code,vertical,channel,origination_date,vintage_cohort,credit_tier_at_booking,months_on_book,bureau_score_at_booking,credit_line_assigned,credit_line_requested,counter_offer_flag,app_channel,bureau_utilization_at_app,bureau_inquiries_at_app,bureau_derogatory_at_app,account_status,current_balance,current_dpd_bucket,days_past_due,utilization_pct,closure_date,closure_reason,months_since_last_purchase,avg_monthly_spend_3m,avg_monthly_spend_12m,spend_trend_pct_3m,total_spend_lifetime,login_frequency_30d,avg_login_frequency_3m,dormant_flag,attrition_risk_flag,bureau_score_current,score_drift,bureau_refresh_quarter,derogatory_count_current,new_derogatory_flag,utilization_stress_flag,hardship_flag,payment_plan_flag,risk_segment,chargeoff_flag,chargeoff_date,total_payments_lifetime
ACC0000001,2024-12,SYF_WALMART,Retail,online,2023-06-16,2023-Q2,Prime,18,687,6400,5541,0,online,0.4533,3,0,active,131.42,current,0,0.0205,,,0,169.34,142.84,307.8,2206.36,5,6.3,0,0,687,0,2024-Q4,0,0,0,0,0,standard,0,,2074.94
ACC0000002,2024-12,SYF_SAMSCLUB,Retail,online,2024-09-26,2024-Q3,Superprime,3,805,12800,11736,1,online,0.5291,5,0,active,0.0,current,0,0.0,,,0,193.89,193.89,0.0,581.66,6,7.7,0,0,806,1,2024-Q4,0,0,0,0,0,low_risk,0,,581.66
ACC0000003,2024-12,SYF_BPGASCAR,Auto/Gas,online,2024-08-10,2024-Q3,Prime,4,689,4200,6209,0,online,0.4548,3,0,active,130.46,current,0,0.0311,,,0,137.13,109.51,0.0,438.05,1,8.7,0,0,689,0,2024-Q4,0,0,0,0,0,standard,0,,307.6
ACC0000004,2024-12,SYF_AMAZON,Retail,online,2021-04-26,2021-Q2,Prime,44,731,5600,5773,0,online,0.027,1,0,active,452.7,current,0,0.0808,,,0,363.41,184.24,149.9,7918.61,19,11.7,0,0,731,0,2024-Q4,0,0,0,0,0,standard,0,,7465.92
ACC0000005,2024-12,SYF_ROOMS2GO,Furniture,online,2022-09-27,2022-Q3,Superprime,27,838,13300,11941,0,online,0.4157,1,0,delinquent,0.0,dpd_30,30,0.0,,,0,2271.31,2071.07,8.8,52379.52,1,1.7,0,0,850,12,2024-Q4,0,0,0,0,0,moderate_risk,0,,52379.53
ACC0000006,2024-12,SYF_BPGASCAR,Auto/Gas,in_store,2024-09-04,2024-Q3,Prime,3,745,5500,4620,0,in_store,0.5521,6,0,active,0.0,current,0,0.0,,,0,47.5,47.5,0.0,142.5,12,10.3,0,0,745,0,2024-Q4,0,0,0,0,0,standard,0,,142.5
ACC0000007,2024-12,SYF_PAYPAL,Fintech,pre_approved,2021-01-22,2021-Q1,Superprime,47,764,6900,8473,1,pre_approved,0.6371,2,0,delinquent,346.78,dpd_30,30,0.0503,,,0,210.04,185.08,-4.6,8388.68,19,12.3,0,0,796,32,2024-Q4,0,0,0,0,0,moderate_risk,0,,8041.91
ACC0000008,2024-12,SYF_CARECREDIT,Healthcare,direct_mail,2023-07-17,2023-Q3,Prime,14,721,3800,4826,0,direct_mail,0.5822,3,0,closed,789.4,current,0,0.2077,2024-09-09,account_review,3,648.06,655.79,-46.1,8996.31,15,12.3,1,0,721,0,2024-Q3,0,0,0,0,0,standard,0,,8206.91
ACC0000009,2024-12,SYF_SAMSCLUB,Retail,partner_refer,2021-12-17,2021-Q4,Prime,36,727,5900,5484,0,partner_refer,0.5119,6,0,active,348.83,current,0,0.0591,,,0,177.18,171.82,-7.4,8314.76,7,4.7,0,0,727,0,2024-Q4,0,0,0,0,0,standard,0,,7965.95
ACC0000010,2024-12,SYF_WALMART,Retail,in_store,2024-07-25,2024-Q3,Prime,5,722,6400,8997,0,in_store,0.5876,4,0,active,0.0,current,0,0.0,,,0,69.42,75.6,0.0,377.99,7,8.3,0,0,722,0,2024-Q4,0,0,0,0,0,standard,0,,377.99
ACC0000011,2024-12,SYF_LOWES,HomeImprov,in_store,2021-03-06,2021-Q1,Nearprime,32,638,3100,4115,0,in_store,0.1583,2,0,charged_off,1094.29,dpd_120plus,120,0.353,,,13,155.58,115.39,0.8,10430.19,13,12.7,1,0,638,0,2023-Q3,0,0,0,0,0,high_risk,1,2023-11-01,9335.91
ACC0000012,2024-12,SYF_GUITARCTR,Specialty,in_store,2022-08-26,2022-Q3,Subprime,24,572,900,1137,1,in_store,0.4339,0,0,closed,757.67,dpd_90,90,0.8419,2024-08-15,inactivity,4,125.77,692.51,-86.8,18033.74,4,12.0,1,0,538,-34,2024-Q3,0,0,1,0,0,high_risk,0,,8563.11
ACC0000013,2024-12,SYF_WALMART,Retail,in_store,2021-07-17,2021-Q3,Nearprime,41,673,1800,2112,1,in_store,0.0625,2,0,active,802.76,current,0,0.446,,,0,16.49,23.39,29.4,2650.62,0,0.0,0,1,539,-134,2024-Q4,2,1,0,1,1,attrition_risk,0,,1847.86
ACC0000014,2024-12,SYF_ROOMS2GO,Furniture,pre_approved,2022-12-17,2022-Q4,Prime,22,723,4000,3529,1,pre_approved,0.6083,6,0,closed,0.0,current,0,0.0,2024-10-07,account_review,2,2413.87,2324.92,25.7,50417.3,14,8.3,0,0,723,0,2024-Q3,0,0,0,0,0,standard,0,,38882.44
ACC0000015,2024-12,SYF_WALMART,Retail,online,2021-11-09,2021-Q4,Prime,37,727,3700,4174,0,online,0.033,4,0,active,0.0,current,0,0.0,,,0,216.52,140.32,9.9,5794.14,4,9.7,0,0,727,0,2024-Q4,0,0,0,0,0,standard,0,,5794.17
ACC0000016,2024-12,SYF_PAYPAL,Fintech,partner_refer,2021-12-03,2021-Q4,Nearprime,23,675,1200,1353,0,partner_refer,0.4905,7,0,charged_off,384.72,dpd_120plus,120,0.3206,,,15,15.65,24.92,-31.4,1638.62,12,9.3,1,0,675,0,2023-Q3,0,0,0,0,0,high_risk,1,2023-11-01,1253.91
ACC0000017,2024-12,SYF_WALMART,Retail,in_store,2021-06-26,2021-Q2,Prime,42,757,5400,7804,0,in_store,0.5869,1,0,active,0.0,current,0,0.0,,,1,117.02,119.06,-6.5,6490.5,7,9.0,0,0,757,0,2024-Q4,0,0,0,0,0,standard,0,,6490.52
ACC0000018,2024-12,SYF_LOWES,HomeImprov,online,2021-12-06,2021-Q4,Prime,36,723,5700,7399,1,online,0.5268,4,0,active,0.0,current,0,0.0,,,0,155.47,427.62,-59.9,15673.05,0,6.0,0,0,723,0,2024-Q4,0,0,0,0,0,standard,0,,15673.06
ACC0000019,2024-12,SYF_PAYPAL,Fintech,direct_mail,2022-11-26,2022-Q4,Nearprime,25,647,1500,1952,0,direct_mail,0.2309,5,1,charged_off,345.32,dpd_120plus,120,0.2302,,,1,16.65,24.66,-60.9,1837.62,2,5.0,0,0,647,0,2024-Q4,1,0,0,0,0,high_risk,1,2024-12-01,1492.31
ACC0000020,2024-12,SYF_WALMART,Retail,in_store,2023-09-11,2023-Q3,Superprime,15,813,8300,12448,0,in_store,0.1016,5,0,active,329.09,current,0,0.0396,,,0,174.64,141.52,15.2,1756.48,17,14.0,0,0,822,9,2024-Q4,0,0,0,0,0,low_risk,0,,1427.4
ACC0000021,2024-12,SYF_SAMSCLUB,Retail,online,2021-05-16,2021-Q2,Prime,43,683,2700,3385,0,online,0.5592,4,0,active,196.73,current,0,0.0729,,,0,83.02,222.63,-73.9,12898.47,13,5.7,0,0,683,0,2024-Q4,0,0,0,0,0,standard,0,,12701.75
ACC0000022,2024-12,SYF_BPGASCAR,Auto/Gas,online,2024-07-20,2024-Q3,Prime,5,743,5600,5550,0,online,0.0658,4,0,active,91.48,current,0,0.0163,,,0,76.52,58.36,0.0,291.78,3,6.3,0,0,743,0,2024-Q4,0,0,0,0,0,standard,0,,200.3
