application_id,account_id,application_date,app_channel,bureau_score_at_app,credit_line_requested,credit_line_approved,decision,decline_reason_code,bureau_utilization_at_app,bureau_inquiries_at_app,bureau_derogatory_count,bureau_oldest_tradeline_yrs
APP00000001,ACC0000001,2023-06-16,online,687,8627,6400.0,approved,,0.5663,4,0,8.0
APP00000002,ACC0000002,2021-05-10,in_store,799,10288,7000.0,approved,,0.4109,6,0,9.0
APP00000003,ACC0000003,2022-12-05,in_store,737,6879,6400.0,approved,,0.4214,5,0,15.0
APP00000004,ACC0000004,2024-06-23,in_store,690,3093,3400.0,approved,,0.5928,1,0,4.9
APP00000005,ACC0000005,2022-09-10,online,809,11672,9400.0,approved,,0.4907,7,0,18.2
APP00000006,ACC0000006,2024-02-08,pre_approved,698,8694,6800.0,approved,,0.204,1,0,4.7
APP00000007,ACC0000007,2021-04-04,online,823,10981,8500.0,approved,,0.0822,6,0,4.0
APP00000008,ACC0000008,2021-09-24,online,757,7142,6300.0,approved,,0.5163,0,0,6.2
APP00000009,ACC0000009,2023-07-25,online,629,4302,3200.0,approved,,0.6395,4,1,15.6
APP00000010,ACC0000010,2024-05-25,direct_mail,797,12099,8300.0,approved,,0.3796,5,0,12.1
APP00000011,ACC0000011,2021-06-27,in_store,642,2393,2400.0,approved,,0.338,6,0,15.0
APP00000012,ACC0000012,2024-07-12,in_store,585,1613,1100.0,approved,,0.2176,5,2,9.3
APP00000013,ACC0000013,2022-03-04,direct_mail,714,2419,3000.0,approved,,0.0633,4,0,16.0
APP00000014,ACC0000014,2024-05-15,online,747,5028,4400.0,approved,,0.3417,5,0,11.8
APP00000015,ACC0000015,2021-10-01,online,786,13260,13300.0,approved,,0.3357,4,0,8.9
APP00000016,ACC0000016,2023-08-25,direct_mail,667,2465,2400.0,approved,,0.5817,2,1,4.7
APP00000017,ACC0000017,2021-02-21,pre_approved,720,4735,5300.0,approved,,0.2776,1,0,15.5
APP00000018,ACC0000018,2022-10-08,in_store,691,5726,5800.0,approved,,0.0673,2,0,10.0
APP00000019,ACC0000019,2023-02-14,in_store,654,4245,2900.0,approved,,0.13,5,0,5.2
APP00000020,ACC0000020,2021-02-12,in_store,810,11304,11000.0,approved,,0.6195,5,0,11.6
APP00000021,ACC0000021,2024-09-21,pre_approved,702,5001,4500.0,approved,,0.456,0,0,2.3
APP00000022,ACC0000022,2024-06-11,direct_mail,748,4257,3900.0,approved,,0.4531,1,0,17.9
APP00000023,ACC0000023,2023-12-10,in_store,786,8987,10000.0,approved,,0.1781,4,0,12.5
APP00000024,ACC0000024,2022-03-17,in_store,798,12146,13100.0,approved,,0.2001,7,0,2.8
APP00000025,ACC0000025,2023-08-13,in_store,741,7325,6100.0,approved,,0.4262,6,0,19.6
APP00000026,ACC0000026,2021-07-28,in_store,802,11872,14400.0,approved,,0.2054,1,0,3.7
APP00000027,ACC0000027,2021-11-24,pre_approved,629,2774,2100.0,approved,,0.0776,0,1,6.6
APP00000028,ACC0000028,2021-05-01,online,704,7379,7300.0,approved,,0.0948,5,0,11.9
APP00000029,ACC0000029,2022-11-10,in_store,793,14155,14100.0,approved,,0.607,5,0,10.7
APP00000030,ACC0000030,2023-12-03,direct_mail,823,10077,7600.0,approved,,0.5244,1,0,15.7
APP00000031,ACC0000031,2021-04-19,in_store,827,9049,7700.0,approved,,0.3509,5,0,14.7
APP00000032,ACC0000032,2021-10-05,in_store,687,6404,6000.0,approved,,0.4535,3,0,16.7
APP00000033,ACC0000033,2022-09-27,online,723,3090,3400.0,approved,,0.1535,5,0,7.6
APP00000034,ACC0000034,2022-08-15,online,837,11155,11600.0,approved,,0.165,1,0,13.5
APP00000035,ACC0000035,2023-05-12,online,687,5168,5700.0,approved,,0.3336,5,0,5.9
APP00000036,ACC0000036,2021-09-15,online,694,5393,5000.0,approved,,0.3391,7,0,5.4
APP00000037,ACC0000037,2023-03-17,online,706,2946,3400.0,approved,,0.1918,5,0,1.5
APP00000038,ACC0000038,2022-09-05,in_store,679,2396,2700.0,approved,,0.6325,0,0,17.5
APP00000039,ACC0000039,2022-07-27,partner_refer,552,1881,1500.0,approved,,0.4313,3,1,18.8
APP00000040,ACC0000040,2023-07-09,in_store,702,6870,4900.0,approved,,0.0646,3,0,15.8
APP00000041,ACC0000041,2022-10-11,in_store,649,3799,2600.0,approved,,0.6463,1,1,7.5
APP00000042,ACC0000042,2024-03-10,direct_mail,583,827,900.0,approved,,0.4648,2,2,4.9
APP00000043,ACC0000043,2023-01-14,pre_approved,760,19469,14000.0,approved,,0.3776,7,0,2.5
APP00000044,ACC0000044,2023-07-10,pre_approved,628,3253,3000.0,approved,,0.5531,7,1,7.5
APP00000045,ACC0000045,2024-07-10,online,738,7332,6100.0,approved,,0.5925,1,0,3.8
APP00000046,ACC0000046,2021-11-12,online,829,20106,14800.0,approved,,0.6036,1,0,5.4
APP00000047,ACC0000047,2024-02-11,online,724,4335,4000.0,approved,,0.1936,4,0,16.5
APP00000048,ACC0000048,2023-05-20,in_store,696,8026,7300.0,approved,,0.3669,3,0,14.7
APP00000049,ACC0000049,2024-07-06,partner_refer,703,6564,7500.0,approved,,0.2976,4,0,7.2
APP00000050,ACC0000050,2024-09-21,direct_mail,714,6529,7300.0,approved,,0.3919,1,0,11.5
APP00000051,ACC0000051,2021-11-03,online,670,3033,3700.0,approved,,0.1752,1,2,9.9
APP00000052,ACC0000052,2023-11-24,online,673,891,1100.0,approved,,0.034,7,0,9.9
APP00000053,ACC0000053,2023-10-07,in_store,750,3943,3000.0,approved,,0.4986,4,0,12.1
APP00000054,ACC0000054,2021-11-27,direct_mail,827,17684,14500.0,approved,,0.328,0,0,7.4
APP00000055,ACC0000055,2023-10-21,partner_refer,751,4437,3300.0,approved,,0.4617,6,0,6.1
APP00000056,ACC0000056,2021-09-27,online,630,1261,1100.0,approved,,0.425,6,2,1.0
APP00000057,ACC0000057,2022-11-16,pre_approved,565,2118,1500.0,approved,,0.1258,1,0,1.9
APP00000058,ACC0000058,2021-06-30,pre_approved,698,4858,3900.0,approved,,0.3631,5,0,18.7
APP00000059,ACC0000059,2024-06-24,pre_approved,786,9117,10100.0,approved,,0.4258,4,0,13.1
APP00000060,ACC0000060,2024-01-07,in_store,735,9858,6800.0,approved,,0.1402,0,0,18.5
APP00000061,ACC0000061,2022-08-18,in_store,835,8201,6300.0,approved,,0.6166,6,0,13.6
APP00000062,ACC0000062,2022-02-17,in_store,689,7295,7400.0,approved,,0.0231,2,0,4.9
APP00000063,ACC0000063,2022-12-15,direct_mail,638,5428,3900.0,approved,,0.241,7,2,6.6
APP00000064,ACC0000064,2021-07-23,online,655,2684,2700.0,approved,,0.3445,2,0,2.2
APP00000065,ACC0000065,2021-01-09,pre_approved,739,6379,4600.0,approved,,0.4177,4,0,17.6
APP00000066,ACC0000066,2024-01-07,pre_approved,757,8184,6200.0,approved,,0.104,5,0,3.6
APP00000067,ACC0000067,2023-06-29,in_store,837,4340,5200.0,approved,,0.2429,5,0,4.0
APP00000068,ACC0000068,2021-11-15,in_store,626,3489,2400.0,approved,,0.1762,4,1,6.5
APP00000069,ACC0000069,2023-10-30,partner_refer,614,1555,1300.0,approved,,0.3258,1,0,8.8
APP00000070,ACC0000070,2022-08-07,online,728,6785,7100.0,approved,,0.6044,7,0,4.4
APP00000071,ACC0000071,2022-12-29,direct_mail,561,1086,800.0,approved,,0.348,4,1,1.8
APP00000072,ACC0000072,2024-01-24,in_store,559,1924,1300.0,approved,,0.4015,5,2,3.8
APP00000073,ACC0000073,2021-07-20,in_store,623,2607,2100.0,approved,,0.1601,7,2,1.7
APP00000074,ACC0000074,2024-06-07,in_store,753,3831,3200.0,approved,,0.0503,6,0,11.7
APP00000075,ACC0000075,2021-07-30,in_store,613,912,1000.0,approved,,0.5719,6,2,12.7
APP00000076,ACC0000076,2024-02-13,pre_approved,631,1915,1500.0,approved,,0.5736,1,0,3.9
APP00000077,ACC0000077,2022-06-24,online,684,9301,6500.0,approved,,0.1117,2,0,3.2
APP00000078,ACC0000078,2023-12-22,in_store,826,14541,13800.0,approved,,0.0158,7,0,8.5
APP00000079,ACC0000079,2021-11-09,online,673,2133,1700.0,approved,,0.5199,6,0,7.0
APP00000080,ACC0000080,2021-03-09,online,559,613,600.0,approved,,0.0678,1,1,17.5
APP00000081,ACC0000081,2021-05-08,direct_mail,673,1333,1300.0,approved,,0.5974,5,0,5.5
APP00000082,ACC0000082,2024-02-21,pre_approved,735,3351,3000.0,approved,,0.5803,6,0,14.4
APP00000083,ACC0000083,2024-01-04,partner_refer,747,3621,4100.0,approved,,0.5377,1,0,12.9
APP00000084,ACC0000084,2023-10-10,online,729,6330,6400.0,approved,,0.3836,2,0,12.1
APP00000085,ACC0000085,2024-03-20,pre_approved,550,1454,1500.0,approved,,0.5137,3,1,14.8
APP00000086,ACC0000086,2021-12-09,in_store,661,2619,2900.0,approved,,0.5108,4,2,17.9
APP00000087,ACC0000087,2023-04-08,in_store,693,4688,4600.0,approved,,0.4973,5,0,1.4
APP00000088,ACC0000088,2022-03-25,in_store,558,1203,1200.0,approved,,0.3299,5,0,18.6
APP00000089,ACC0000089,2023-12-23,in_store,781,11631,8000.0,approved,,0.0994,2,0,10.6
APP00000090,ACC0000090,2022-03-26,in_store,676,4104,3300.0,approved,,0.5449,7,0,11.6
APP00000091,ACC0000091,2021-10-05,in_store,649,2829,3000.0,approved,,0.6007,4,0,19.0
APP00000092,ACC0000092,2022-01-30,in_store,833,4801,5700.0,approved,,0.0637,7,0,2.5
APP00000093,ACC0000093,2022-11-21,partner_refer,587,1321,1100.0,approved,,0.3881,5,1,10.0
APP00000094,ACC0000094,2023-05-02,online,730,4483,3000.0,approved,,0.4825,4,0,6.2
APP00000095,ACC0000095,2024-08-08,online,663,1868,1400.0,approved,,0.2102,2,0,7.6
APP00000096,ACC0000096,2023-12-09,online,616,980,800.0,approved,,0.4399,0,1,16.8
APP00000097,ACC0000097,2023-09-16,in_store,687,3750,3800.0,approved,,0.3341,4,0,10.8
APP00000098,ACC0000098,2021-06-27,pre_approved,630,1608,1500.0,approved,,0.1706,3,1,3.5
APP00000099,ACC0000099,2022-12-18,in_store,725,6927,5900.0,approved,,0.156,6,0,18.4
APP00000100,ACC0000100,2021-11-19,pre_approved,807,10737,9900.0,approved,,0.1954,0,0,19.4
APP00000101,ACC0000101,2021-06-10,in_store,655,4180,3400.0,approved,,0.5494,2,0,16.0
APP00000102,ACC0000102,2023-11-27,online,732,8109,7100.0,approved,,0.4992,1,0,14.9
APP00000103,ACC0000103,2024-01-25,online,739,5874,7000.0,approved,,0.3793,2,0,8.0
APP00000104,ACC0000104,2022-03-07,online,741,5597,5200.0,approved,,0.0403,1,0,16.7
APP00000105,ACC0000105,2023-01-31,online,686,6110,7200.0,approved,,0.5488,6,0,13.7
APP00000106,ACC0000106,2023-01-28,pre_approved,575,681,500.0,approved,,0.325,0,0,5.1
APP00000107,ACC0000107,2021-07-11,direct_mail,589,1103,900.0,approved,,0.0508,1,0,8.5
APP00000108,ACC0000108,2024-07-27,partner_refer,794,19412,13500.0,approved,,0.4503,5,0,1.6
APP00000109,ACC0000109,2021-06-18,online,750,6451,5700.0,approved,,0.408,5,0,9.1
APP00000110,ACC0000110,2021-01-17,in_store,627,3540,2600.0,approved,,0.2535,1,0,8.2
APP00000111,ACC0000111,2024-08-19,in_store,799,8386,8000.0,approved,,0.5767,1,0,17.0
APP00000112,ACC0000112,2024-06-12,in_store,647,3232,2500.0,approved,,0.3539,1,1,15.9
APP00000113,ACC0000113,2021-03-02,online,643,4816,4000.0,approved,,0.3137,7,1,12.1
APP00000114,ACC0000114,2021-05-26,online,672,1187,1100.0,approved,,0.2766,2,2,9.6
APP00000115,ACC0000115,2023-05-04,online,550,1080,1100.0,approved,,0.3935,7,2,5.4
