refresh_id,account_id,refresh_date,refresh_quarter,trigger_event_code,updated_fico_score,score_change_vs_prior,updated_utilization_pct,new_derogatory_flag,new_inquiry_count,collections_flag,bankruptcy_flag
BUR00000001,ACC0000001,2023-07-01,2023-Q3,annual_review,687,0,0.2086,0,0,0,0
BUR00000002,ACC0000001,2023-10-01,2023-Q4,cli_review,687,0,0.0832,0,0,0,0
BUR00000003,ACC0000001,2024-01-01,2024-Q1,annual_review,687,0,0.8568,0,0,0,0
BUR00000004,ACC0000001,2024-04-01,2024-Q2,behavioral_trigger,687,0,0.466,0,2,0,0
BUR00000005,ACC0000001,2024-07-01,2024-Q3,quarterly_refresh,687,0,0.5531,0,3,0,0
BUR00000006,ACC0000001,2024-10-01,2024-Q4,behavioral_trigger,687,0,0.4128,0,1,0,0
BUR00000007,ACC0000002,2021-07-01,2021-Q3,cli_review,801,2,0.7133,0,1,0,0
BUR00000008,ACC0000002,2021-10-01,2021-Q4,collections_trigger,803,2,0.2767,0,2,0,0
BUR00000009,ACC0000002,2022-01-01,2022-Q1,behavioral_trigger,804,1,0.1234,0,3,0,0
BUR00000010,ACC0000002,2022-04-01,2022-Q2,cli_review,806,2,0.1334,0,0,0,0
BUR00000011,ACC0000002,2022-07-01,2022-Q3,cli_review,808,2,0.2302,0,0,0,0
BUR00000012,ACC0000002,2022-10-01,2022-Q4,behavioral_trigger,809,1,0.3119,0,3,0,0
BUR00000013,ACC0000002,2023-01-01,2023-Q1,quarterly_refresh,812,3,0.128,0,1,0,0
BUR00000014,ACC0000002,2023-04-01,2023-Q2,collections_trigger,816,4,0.2247,0,0,0,0
BUR00000015,ACC0000002,2023-07-01,2023-Q3,behavioral_trigger,819,3,0.3258,0,0,0,0
BUR00000016,ACC0000002,2023-10-01,2023-Q4,behavioral_trigger,821,2,0.1914,0,0,0,0
BUR00000017,ACC0000002,2024-01-01,2024-Q1,collections_trigger,823,2,0.8083,0,2,0,0
BUR00000018,ACC0000002,2024-04-01,2024-Q2,quarterly_refresh,826,3,0.6172,0,0,0,0
BUR00000019,ACC0000002,2024-07-01,2024-Q3,behavioral_trigger,829,3,0.5199,0,2,0,0
BUR00000020,ACC0000002,2024-10-01,2024-Q4,behavioral_trigger,832,3,0.4583,0,2,0,0
BUR00000021,ACC0000003,2023-01-01,2023-Q1,quarterly_refresh,737,0,0.8379,0,3,0,0
BUR00000022,ACC0000003,2023-04-01,2023-Q2,behavioral_trigger,737,0,0.4525,0,0,0,0
BUR00000023,ACC0000003,2023-07-01,2023-Q3,behavioral_trigger,737,0,0.6051,0,0,0,0
BUR00000024,ACC0000003,2023-10-01,2023-Q4,collections_trigger,737,0,0.4643,0,3,0,0
BUR00000025,ACC0000003,2024-01-01,2024-Q1,behavioral_trigger,737,0,0.8804,0,2,0,0
BUR00000026,ACC0000003,2024-04-01,2024-Q2,quarterly_refresh,737,0,0.6443,0,2,0,0
BUR00000027,ACC0000003,2024-07-01,2024-Q3,cli_review,737,0,0.7455,0,3,0,0
BUR00000028,ACC0000003,2024-10-01,2024-Q4,collections_trigger,737,0,0.4942,0,2,0,0
BUR00000029,ACC0000004,2024-07-01,2024-Q3,quarterly_refresh,690,0,0.6007,0,3,0,0
BUR00000030,ACC0000004,2024-10-01,2024-Q4,quarterly_refresh,690,0,0.7164,0,0,0,0
BUR00000031,ACC0000005,2022-10-01,2022-Q4,annual_review,812,3,0.74,0,3,0,0
BUR00000032,ACC0000005,2023-01-01,2023-Q1,quarterly_refresh,816,4,0.3759,0,0,0,0
BUR00000033,ACC0000005,2023-04-01,2023-Q2,quarterly_refresh,818,2,0.3356,0,1,0,0
BUR00000034,ACC0000005,2023-07-01,2023-Q3,collections_trigger,818,0,0.9934,0,2,0,0
BUR00000035,ACC0000005,2023-10-01,2023-Q4,behavioral_trigger,820,2,0.4756,0,2,0,0
BUR00000036,ACC0000005,2024-01-01,2024-Q1,annual_review,822,2,0.979,0,3,0,0
BUR00000037,ACC0000005,2024-04-01,2024-Q2,cli_review,823,1,0.4848,0,2,0,0
BUR00000038,ACC0000005,2024-07-01,2024-Q3,annual_review,827,4,0.496,0,2,0,0
BUR00000039,ACC0000005,2024-10-01,2024-Q4,behavioral_trigger,830,3,0.72,0,0,0,0
BUR00000040,ACC0000006,2024-04-01,2024-Q2,behavioral_trigger,698,0,0.6434,0,3,0,0
BUR00000041,ACC0000006,2024-07-01,2024-Q3,collections_trigger,698,0,0.8399,0,1,0,0
BUR00000042,ACC0000006,2024-10-01,2024-Q4,annual_review,698,0,0.7761,0,3,0,0
BUR00000043,ACC0000007,2021-07-01,2021-Q3,cli_review,825,2,0.081,0,1,0,0
BUR00000044,ACC0000007,2021-10-01,2021-Q4,quarterly_refresh,825,0,0.4751,0,1,0,0
BUR00000045,ACC0000007,2022-01-01,2022-Q1,collections_trigger,829,4,0.3802,0,1,0,0
BUR00000046,ACC0000007,2022-04-01,2022-Q2,behavioral_trigger,829,0,0.1385,0,0,0,0
BUR00000047,ACC0000007,2022-07-01,2022-Q3,annual_review,830,1,0.4669,0,3,0,0
BUR00000048,ACC0000007,2022-10-01,2022-Q4,annual_review,832,2,0.1095,0,3,0,0
BUR00000049,ACC0000007,2023-01-01,2023-Q1,collections_trigger,834,2,0.6313,0,1,0,0
BUR00000050,ACC0000007,2023-04-01,2023-Q2,quarterly_refresh,836,2,0.1418,0,2,0,0
BUR00000051,ACC0000007,2023-07-01,2023-Q3,annual_review,838,2,0.672,0,1,0,0
BUR00000052,ACC0000007,2023-10-01,2023-Q4,behavioral_trigger,838,0,0.1464,0,2,0,0
BUR00000053,ACC0000007,2024-01-01,2024-Q1,behavioral_trigger,840,2,0.2712,0,3,0,0
BUR00000054,ACC0000007,2024-04-01,2024-Q2,cli_review,844,4,0.5247,0,0,0,0
BUR00000055,ACC0000007,2024-07-01,2024-Q3,annual_review,844,0,0.6321,0,3,0,0
BUR00000056,ACC0000007,2024-10-01,2024-Q4,annual_review,847,3,0.3757,0,0,0,0
BUR00000057,ACC0000008,2021-10-01,2021-Q4,cli_review,757,0,0.542,0,1,0,0
BUR00000058,ACC0000008,2022-01-01,2022-Q1,cli_review,757,0,0.7323,0,3,0,0
BUR00000059,ACC0000008,2022-04-01,2022-Q2,cli_review,757,0,0.332,0,0,0,0
BUR00000060,ACC0000008,2022-07-01,2022-Q3,collections_trigger,757,0,0.7608,0,0,0,0
BUR00000061,ACC0000008,2022-10-01,2022-Q4,cli_review,757,0,0.0724,0,1,0,0
BUR00000062,ACC0000008,2023-01-01,2023-Q1,annual_review,757,0,0.1226,0,3,0,0
BUR00000063,ACC0000008,2023-04-01,2023-Q2,behavioral_trigger,742,-15,0.5806,1,0,0,0
BUR00000064,ACC0000008,2023-07-01,2023-Q3,annual_review,734,-8,0.5702,1,2,0,0
BUR00000065,ACC0000008,2023-10-01,2023-Q4,behavioral_trigger,723,-11,0.083,1,0,0,0
BUR00000066,ACC0000008,2024-01-01,2024-Q1,collections_trigger,705,-18,0.2917,0,1,0,0
BUR00000067,ACC0000008,2024-04-01,2024-Q2,quarterly_refresh,691,-14,0.7959,0,1,0,0
BUR00000068,ACC0000008,2024-07-01,2024-Q3,cli_review,677,-14,0.4029,1,1,0,0
BUR00000069,ACC0000008,2024-10-01,2024-Q4,behavioral_trigger,665,-12,0.5389,1,2,0,0
BUR00000070,ACC0000009,2023-10-01,2023-Q4,collections_trigger,629,0,0.2052,0,3,0,0
BUR00000071,ACC0000009,2024-01-01,2024-Q1,quarterly_refresh,629,0,0.5291,0,2,0,0
BUR00000072,ACC0000009,2024-04-01,2024-Q2,collections_trigger,629,0,0.4691,0,3,0,0
BUR00000073,ACC0000009,2024-07-01,2024-Q3,annual_review,629,0,0.7606,0,1,0,0
BUR00000074,ACC0000009,2024-10-01,2024-Q4,annual_review,629,0,0.252,0,2,0,0
BUR00000075,ACC0000010,2024-07-01,2024-Q3,collections_trigger,797,0,0.4879,0,1,0,0
BUR00000076,ACC0000010,2024-10-01,2024-Q4,behavioral_trigger,800,3,0.7549,0,1,0,0
BUR00000077,ACC0000011,2021-07-01,2021-Q3,quarterly_refresh,642,0,0.6326,0,1,0,0
BUR00000078,ACC0000011,2021-10-01,2021-Q4,annual_review,642,0,0.4492,0,1,0,0
BUR00000079,ACC0000011,2022-01-01,2022-Q1,quarterly_refresh,642,0,0.4025,0,1,0,0
BUR00000080,ACC0000011,2022-04-01,2022-Q2,collections_trigger,642,0,0.5488,0,1,0,0
BUR00000081,ACC0000011,2022-07-01,2022-Q3,behavioral_trigger,642,0,0.3644,0,0,0,0
BUR00000082,ACC0000011,2022-10-01,2022-Q4,annual_review,642,0,0.923,0,3,0,0
BUR00000083,ACC0000011,2023-01-01,2023-Q1,quarterly_refresh,642,0,0.5438,0,1,0,0
BUR00000084,ACC0000011,2023-04-01,2023-Q2,annual_review,642,0,0.9251,0,2,0,0
BUR00000085,ACC0000011,2023-07-01,2023-Q3,behavioral_trigger,642,0,0.2345,0,1,0,0
BUR00000086,ACC0000011,2023-10-01,2023-Q4,quarterly_refresh,642,0,0.1229,0,0,0,0
BUR00000087,ACC0000011,2024-01-01,2024-Q1,annual_review,642,0,0.4684,0,1,0,0
BUR00000088,ACC0000011,2024-04-01,2024-Q2,behavioral_trigger,642,0,0.5791,0,1,0,0
BUR00000089,ACC0000011,2024-07-01,2024-Q3,behavioral_trigger,642,0,0.4767,0,3,0,0
BUR00000090,ACC0000011,2024-10-01,2024-Q4,annual_review,642,0,0.4208,0,0,0,0
BUR00000091,ACC0000012,2024-10-01,2024-Q4,behavioral_trigger,585,0,0.5828,0,0,0,0
BUR00000092,ACC0000013,2022-04-01,2022-Q2,collections_trigger,714,0,0.1746,0,3,0,0
BUR00000093,ACC0000013,2022-07-01,2022-Q3,collections_trigger,714,0,0.7887,0,0,0,0
BUR00000094,ACC0000013,2022-10-01,2022-Q4,behavioral_trigger,714,0,0.3123,0,1,0,0
BUR00000095,ACC0000013,2023-01-01,2023-Q1,quarterly_refresh,714,0,0.8918,0,2,0,0
BUR00000096,ACC0000013,2023-04-01,2023-Q2,cli_review,714,0,0.57,0,3,0,0
BUR00000097,ACC0000013,2023-07-01,2023-Q3,behavioral_trigger,714,0,0.6868,0,0,0,0
BUR00000098,ACC0000013,2023-10-01,2023-Q4,behavioral_trigger,714,0,0.133,0,0,0,0
BUR00000099,ACC0000013,2024-01-01,2024-Q1,behavioral_trigger,714,0,0.8368,0,3,0,0
BUR00000100,ACC0000013,2024-04-01,2024-Q2,collections_trigger,714,0,0.4701,0,1,0,0
BUR00000101,ACC0000013,2024-07-01,2024-Q3,collections_trigger,714,0,0.7837,0,1,0,0
BUR00000102,ACC0000013,2024-10-01,2024-Q4,collections_trigger,714,0,0.6386,0,2,0,0
BUR00000103,ACC0000014,2024-07-01,2024-Q3,behavioral_trigger,747,0,0.8691,0,0,0,0
BUR00000104,ACC0000014,2024-10-01,2024-Q4,annual_review,747,0,0.4173,0,0,0,0
BUR00000105,ACC0000015,2021-10-01,2021-Q4,behavioral_trigger,790,4,0.7173,0,1,0,0
BUR00000106,ACC0000015,2022-01-01,2022-Q1,quarterly_refresh,791,1,0.2536,0,3,0,0
BUR00000107,ACC0000015,2022-04-01,2022-Q2,annual_review,792,1,0.6971,0,1,0,0
BUR00000108,ACC0000015,2022-07-01,2022-Q3,cli_review,792,0,0.3027,0,2,0,0
BUR00000109,ACC0000015,2022-10-01,2022-Q4,collections_trigger,795,3,0.0745,0,3,0,0
BUR00000110,ACC0000015,2023-01-01,2023-Q1,quarterly_refresh,795,0,0.663,0,0,0,0
BUR00000111,ACC0000015,2023-04-01,2023-Q2,cli_review,797,2,0.4978,0,2,0,0
BUR00000112,ACC0000015,2023-07-01,2023-Q3,behavioral_trigger,798,1,0.4769,0,3,0,0
BUR00000113,ACC0000015,2023-10-01,2023-Q4,collections_trigger,800,2,0.3816,0,0,0,0
BUR00000114,ACC0000015,2024-01-01,2024-Q1,collections_trigger,804,4,0.0873,0,1,0,0
BUR00000115,ACC0000016,2023-10-01,2023-Q4,behavioral_trigger,667,0,0.6231,0,1,0,0
BUR00000116,ACC0000016,2024-01-01,2024-Q1,behavioral_trigger,667,0,0.1803,0,1,0,0
BUR00000117,ACC0000016,2024-04-01,2024-Q2,behavioral_trigger,667,0,0.3293,0,3,0,0
BUR00000118,ACC0000016,2024-07-01,2024-Q3,cli_review,667,0,0.1465,0,0,0,0
BUR00000119,ACC0000016,2024-10-01,2024-Q4,cli_review,667,0,0.2624,0,0,0,0
BUR00000120,ACC0000017,2021-04-01,2021-Q2,behavioral_trigger,720,0,0.8734,0,2,0,0
BUR00000121,ACC0000017,2021-07-01,2021-Q3,collections_trigger,720,0,0.5552,0,3,0,0
BUR00000122,ACC0000017,2021-10-01,2021-Q4,collections_trigger,720,0,0.158,0,2,0,0
BUR00000123,ACC0000017,2022-01-01,2022-Q1,behavioral_trigger,720,0,0.4254,0,1,0,0
BUR00000124,ACC0000017,2022-04-01,2022-Q2,cli_review,720,0,0.2587,0,1,0,0
BUR00000125,ACC0000017,2022-07-01,2022-Q3,collections_trigger,720,0,0.3931,0,0,0,0
BUR00000126,ACC0000017,2022-10-01,2022-Q4,cli_review,720,0,0.3844,0,3,0,0
BUR00000127,ACC0000017,2023-01-01,2023-Q1,cli_review,720,0,0.4043,0,2,0,0
BUR00000128,ACC0000017,2023-04-01,2023-Q2,annual_review,720,0,0.0642,0,2,0,0
BUR00000129,ACC0000017,2023-07-01,2023-Q3,quarterly_refresh,720,0,0.6661,0,0,0,0
BUR00000130,ACC0000017,2023-10-01,2023-Q4,annual_review,720,0,0.6423,0,3,0,0
BUR00000131,ACC0000017,2024-01-01,2024-Q1,annual_review,720,0,0.8256,0,0,0,0
BUR00000132,ACC0000017,2024-04-01,2024-Q2,annual_review,720,0,0.6439,0,2,0,0
BUR00000133,ACC0000017,2024-07-01,2024-Q3,behavioral_trigger,720,0,0.3092,0,0,0,0
BUR00000134,ACC0000017,2024-10-01,2024-Q4,behavioral_trigger,720,0,0.9215,0,0,0,0
BUR00000135,ACC0000018,2023-01-01,2023-Q1,annual_review,691,0,0.2764,0,1,0,0
BUR00000136,ACC0000018,2023-04-01,2023-Q2,cli_review,691,0,0.5451,0,1,0,0
BUR00000137,ACC0000018,2023-07-01,2023-Q3,behavioral_trigger,691,0,0.7953,0,0,0,0
BUR00000138,ACC0000018,2023-10-01,2023-Q4,quarterly_refresh,691,0,0.7977,0,2,0,0
BUR00000139,ACC0000018,2024-01-01,2024-Q1,collections_trigger,691,0,0.6321,0,3,0,0
BUR00000140,ACC0000018,2024-04-01,2024-Q2,cli_review,691,0,0.7039,0,3,0,0
BUR00000141,ACC0000018,2024-07-01,2024-Q3,cli_review,691,0,0.8768,0,1,0,0
BUR00000142,ACC0000018,2024-10-01,2024-Q4,cli_review,691,0,0.1898,0,1,0,0
