interaction_id,account_id,interaction_date,interaction_month,channel,interaction_type,hardship_flag,payment_plan_enrolled,dispute_filed,resolved_flag,duration_minutes,months_on_book,digital_login_last_30d
SVC000000001,ACC0000001,2024-02-24,2024-02,phone,hardship_request,1,0,0,1,11,8,11
SVC000000002,ACC0000002,2021-08-09,2021-08,ivr,balance_inquiry,0,0,0,1,5,3,0
SVC000000003,ACC0000002,2021-08-15,2021-08,ivr,balance_inquiry,0,0,0,1,9,3,0
SVC000000004,ACC0000002,2021-08-08,2021-08,ivr,balance_inquiry,0,0,0,0,3,3,0
SVC000000005,ACC0000002,2023-01-06,2023-01,chat,balance_inquiry,0,0,0,1,4,20,13
SVC000000006,ACC0000002,2023-11-17,2023-11,phone,general_inquiry,0,0,0,1,41,30,6
SVC000000007,ACC0000002,2023-11-09,2023-11,phone,balance_inquiry,0,0,0,1,5,30,6
SVC000000008,ACC0000002,2023-11-17,2023-11,chat,rate_inquiry,0,0,0,1,7,30,6
SVC000000009,ACC0000002,2024-08-22,2024-08,app,credit_limit_request,0,0,0,1,9,39,3
SVC000000010,ACC0000002,2024-08-03,2024-08,chat,payment_inquiry,0,0,0,1,8,39,3
SVC000000011,ACC0000002,2024-08-26,2024-08,app,payment_inquiry,0,0,0,1,3,39,3
SVC000000012,ACC0000003,2023-07-04,2023-07,chat,dispute_filed,0,0,1,1,5,7,10
SVC000000013,ACC0000003,2023-07-17,2023-07,app,general_inquiry,0,0,0,0,1,7,10
SVC000000014,ACC0000003,2023-10-03,2023-10,app,credit_limit_request,0,0,0,0,7,10,17
SVC000000015,ACC0000003,2023-11-27,2023-11,chat,balance_inquiry,0,0,0,1,4,11,14
SVC000000016,ACC0000003,2023-11-12,2023-11,app,rate_inquiry,0,0,0,1,1,11,14
SVC000000017,ACC0000003,2023-11-18,2023-11,app,payment_inquiry,0,0,0,1,4,11,14
SVC000000018,ACC0000003,2024-10-21,2024-10,phone,balance_inquiry,0,0,0,0,7,22,9
SVC000000019,ACC0000005,2023-05-13,2023-05,chat,balance_inquiry,0,0,0,1,7,8,6
SVC000000020,ACC0000005,2023-05-02,2023-05,phone,payment_inquiry,0,0,0,1,34,8,6
SVC000000021,ACC0000005,2023-05-07,2023-05,phone,dispute_filed,0,0,1,1,36,8,6
SVC000000022,ACC0000005,2024-10-27,2024-10,app,general_inquiry,0,0,0,1,1,25,0
SVC000000023,ACC0000005,2024-10-27,2024-10,branch,balance_inquiry,0,0,0,0,3,25,0
SVC000000024,ACC0000005,2024-10-27,2024-10,app,balance_inquiry,0,0,0,1,4,25,0
SVC000000025,ACC0000006,2024-07-03,2024-07,phone,payment_inquiry,0,0,0,1,16,5,2
SVC000000026,ACC0000006,2024-11-02,2024-11,chat,balance_inquiry,0,0,0,1,4,9,12
SVC000000027,ACC0000007,2021-06-08,2021-06,phone,balance_inquiry,0,0,0,1,26,2,9
SVC000000028,ACC0000007,2023-10-20,2023-10,chat,general_inquiry,0,0,0,0,3,30,15
SVC000000029,ACC0000007,2023-10-11,2023-10,chat,general_inquiry,0,0,0,0,9,30,15
SVC000000030,ACC0000007,2023-10-24,2023-10,chat,dispute_filed,0,0,1,1,8,30,15
SVC000000031,ACC0000007,2024-10-18,2024-10,chat,fraud_report,0,0,0,1,9,42,12
SVC000000032,ACC0000007,2024-10-25,2024-10,chat,credit_limit_request,0,0,0,1,1,42,12
SVC000000033,ACC0000007,2024-10-09,2024-10,phone,payment_inquiry,0,0,0,1,11,42,12
SVC000000034,ACC0000008,2022-08-04,2022-08,phone,general_inquiry,0,0,0,1,43,11,3
SVC000000035,ACC0000008,2022-08-08,2022-08,chat,payment_inquiry,0,0,0,0,8,11,3
SVC000000036,ACC0000008,2023-03-19,2023-03,phone,general_inquiry,0,0,0,1,11,18,11
SVC000000037,ACC0000008,2023-03-19,2023-03,phone,general_inquiry,0,0,0,1,43,18,11
SVC000000038,ACC0000008,2023-07-12,2023-07,branch,hardship_request,1,0,0,1,5,22,0
SVC000000039,ACC0000008,2023-08-01,2023-08,phone,payment_plan_setup,0,1,0,1,9,23,0
SVC000000040,ACC0000008,2023-08-07,2023-08,app,balance_inquiry,0,0,0,1,3,23,0
SVC000000041,ACC0000008,2023-08-10,2023-08,app,general_inquiry,0,0,0,1,8,23,0
SVC000000042,ACC0000008,2023-09-07,2023-09,app,hardship_request,1,0,0,1,4,24,0
SVC000000043,ACC0000008,2024-01-06,2024-01,ivr,hardship_request,1,0,0,0,9,28,0
SVC000000044,ACC0000008,2024-01-24,2024-01,chat,dispute_filed,0,0,1,1,1,28,0
SVC000000045,ACC0000008,2024-04-09,2024-04,ivr,dispute_filed,0,0,1,1,4,31,0
SVC000000046,ACC0000008,2024-04-21,2024-04,chat,general_inquiry,0,0,0,0,3,31,0
SVC000000047,ACC0000008,2024-04-02,2024-04,phone,hardship_request,1,0,0,1,31,31,0
SVC000000048,ACC0000008,2024-08-25,2024-08,phone,credit_limit_request,0,0,0,0,6,35,0
